task_lang,transfer_lang,accuracy,f1_score,transfer_language,genetic,geographic
east2379,beng1280,0.1818181818181818,0.0925045299862995,ben,1.0,0.2749
cent2084,beng1280,0.1851851851851851,0.1115859727182249,ben,1.0,0.1361
inab1237,beng1280,0.3153153153153153,0.2852889519556186,ben,1.0,0.1535
agut1237,beng1280,0.2432432432432432,0.1842330269159537,ben,1.0,0.1402
achi1256,beng1280,0.2252252252252252,0.1385185363775908,ben,1.0,0.4901
achu1248,beng1280,0.2636363636363636,0.2056439305375475,ben,1.0,0.5096
ambu1247,beng1280,0.2,0.1242385932651419,ben,1.0,0.2527
sain1246,beng1280,0.2522522522522522,0.2127088223040247,ben,0.930400013923645,0.4735
amar1273,beng1280,0.1759259259259259,0.0651445679710235,ben,1.0,0.2091
anga1290,beng1280,0.1711711711711711,0.05003465003465,ben,1.0,0.2701
agua1253,beng1280,0.2612612612612612,0.2015236361974283,ben,1.0,0.5121
amel1241,beng1280,0.1869158878504672,0.086428964109008,ben,1.0,0.2644
agua1252,beng1280,0.2,0.1024329077146571,ben,1.0,0.4896
abau1245,beng1280,0.2072072072072072,0.1151515151515151,ben,1.0,0.2473
anem1248,beng1280,0.2761904761904762,0.2423376432629571,ben,1.0,0.282
anka1246,beng1280,0.1711711711711711,0.05003465003465,ben,1.0,0.2683
agar1252,beng1280,0.1351351351351351,0.0582901995282117,ben,1.0,0.2669
arif1239,beng1280,0.2432432432432432,0.1884368840890579,ben,1.0,0.2832
achu1248,urdu1245,0.1727272727272727,0.0508809020436927,urd,1.0,0.4868
amel1241,urdu1245,0.1962616822429906,0.0792991354789894,urd,1.0,0.3382
cent2084,urdu1245,0.1574074074074074,0.0661926807760141,urd,1.0,0.2236
sain1246,urdu1245,0.1801801801801801,0.0721832632071061,urd,0.930400013923645,0.4373
agut1237,urdu1245,0.1891891891891892,0.0904412376110489,urd,1.0,0.2261
abau1245,urdu1245,0.1621621621621621,0.0531220876048462,urd,1.0,0.3227
arif1239,urdu1245,0.1621621621621621,0.0838500838500838,urd,1.0,0.3543
anem1248,urdu1245,0.1619047619047619,0.0485714285714285,urd,1.0,0.3529
agua1252,urdu1245,0.1909090909090909,0.0840054084148572,urd,1.0,0.4788
