,task_lang,transfer_lang,accuracy,f1_score,transfer_language,genetic,geographic,syntactic,inventory,phonological,featural
140,ango1254,cebu1242,0.2612612612612612,0.1090154903104543,ceb,1.0,0.1597477695992498,0.3827,1.2148,0.8723,0.5713
141,anga1290,cebu1242,0.2612612612612612,0.1082368082368082,ceb,1.0,0.1597477695992498,0.3553,0.4155,0.6333,0.4135
142,agua1253,cebu1242,0.2612612612612612,0.1082368082368082,ceb,1.0,0.905653675142968,0.3485,0.4923,0.6953,0.4208
143,agua1252,cebu1242,0.2909090909090909,0.2183489166984962,ceb,1.0,0.7627038762071301,0.3375,1.2148,0.8378,0.5418
144,anka1246,cebu1242,0.2522522522522522,0.1052563354721628,ceb,1.0,0.1597477695992498,0.3677,1.2148,0.8723,0.5566
145,anem1248,cebu1242,0.2571428571428571,0.1093363329583802,ceb,1.0,0.1597477695992498,0.3677,1.2148,0.8723,0.5566
146,amar1273,cebu1242,0.287037037037037,0.2216382658088448,ceb,0.7322999835014343,0.0837708311478146,0.3677,1.2148,0.8723,0.5566
147,amel1241,cebu1242,0.2710280373831775,0.1513256042654821,ceb,1.0,0.1597477695992498,0.3956,0.3971,0.6482,0.4294
148,achu1248,cebu1242,0.2636363636363636,0.1108036890645586,ceb,1.0,0.8839881156488084,0.4123,0.3971,0.691,0.4532
149,agut1237,cebu1242,0.3153153153153153,0.2224630290668026,ceb,0.5803999900817871,0.000366309616699592,0.3716,1.2148,0.8723,0.5727
150,inab1237,cebu1242,0.3873873873873873,0.3535490000606279,ceb,0.6309999823570251,0.000366309616699592,0.3677,1.2148,0.8723,0.5566
151,east2379,cebu1242,0.2636363636363636,0.1108036890645586,ceb,1.0,0.21705897392175605,0.4309,0.4449,0.5065,0.4437
152,anem1248,egyp1253,0.238095238095238,0.0922849760059062,arz,1.0,0.6409278559982571,0.6027,1.3287,1.2677,0.7818
153,agar1252,egyp1253,0.2522522522522522,0.1435318451480904,arz,1.0,0.6409278559982571,0.5501,1.3287,1.2677,0.7571
154,abau1245,egyp1253,0.2252252252252252,0.1209852709852709,arz,1.0,0.6409278559982571,0.4836,0.5425,0.7521,0.5197
155,ango1254,egyp1253,0.2432432432432432,0.1213377218178418,arz,1.0,0.6409278559982571,0.4985,1.3287,1.2677,0.7355
156,cent2084,egyp1253,0.287037037037037,0.1742891278375149,arz,1.0,0.4848956263086518,0.4039,1.3287,1.2677,0.6549
157,sain1246,egyp1253,0.2702702702702703,0.1494886279722345,arz,1.0,0.3435782191178086,0.6027,1.3287,1.2677,0.7818
158,anka1246,egyp1253,0.2342342342342342,0.088906424672848,arz,1.0,0.6409278559982571,0.6027,1.3287,1.2677,0.7818
159,anga1290,egyp1253,0.2342342342342342,0.0915803021066179,arz,1.0,0.6409278559982571,0.4796,0.5579,0.623,0.5062
160,agua1252,egyp1253,0.2545454545454545,0.1252574250876458,arz,1.0,0.6037193525447014,0.5791,1.3287,1.2532,0.7686
161,amel1241,egyp1253,0.2336448598130841,0.0956656118919714,arz,1.0,0.6409278559982571,0.4674,0.5278,0.369,0.5474
162,achu1248,egyp1253,0.2181818181818181,0.0893342877594846,arz,1.0,0.597076457073668,0.4105,0.5657,0.7252,0.4429
163,ambu1247,egyp1253,0.2363636363636363,0.102379014020805,arz,1.0,0.6409278559982571,0.4722,0.547,0.6755,0.5069
164,arif1239,egyp1253,0.2252252252252252,0.1505365659777424,arz,1.0,0.6409278559982571,0.583,1.3287,1.2677,0.7723
165,amar1273,egyp1253,0.2407407407407407,0.1193899782135076,arz,1.0,0.4914231153229676,0.6027,1.3287,1.2677,0.7818
166,achi1256,egyp1253,0.2252252252252252,0.1271409081171284,arz,1.0,0.6037193525447014,0.454,1.3287,1.2677,0.6766
167,east2379,egyp1253,0.2272727272727272,0.0916138125440451,arz,1.0,0.6289390235263362,0.4389,0.5945,0.5433,0.5029
168,agua1253,egyp1253,0.2342342342342342,0.1071286340103544,arz,1.0,0.5954563335796157,0.476,0.5647,0.6871,0.4895
169,agut1237,egyp1253,0.2972972972972973,0.2353067353067353,arz,1.0,0.4848956263086518,0.4475,1.3287,1.2677,0.6708
170,inab1237,egyp1253,0.2432432432432432,0.1532291527981183,arz,1.0,0.4848956263086518,0.6027,1.3287,1.2677,0.7818
171,anem1248,indo1316,0.2666666666666666,0.226428565219443,ind,1.0,0.15747503963988438,0.5255,1.263,1.2006,0.6696
172,arif1239,indo1316,0.2882882882882883,0.215343866530657,ind,0.7699000239372253,0.15747503963988438,0.5079,1.263,1.2006,0.661
173,anka1246,indo1316,0.1441441441441441,0.0643768768768768,ind,1.0,0.15747503963988438,0.5255,1.263,1.2006,0.6696
174,ambu1247,indo1316,0.2545454545454545,0.1646925922787991,ind,1.0,0.15747503963988438,0.3764,0.4081,0.6449,0.3906
175,achu1248,indo1316,0.2818181818181818,0.1952177234530175,ind,1.0,0.9100011840101352,0.4491,0.4603,0.7002,0.4729
176,agua1252,indo1316,0.1454545454545454,0.0790890324097155,ind,1.0,0.8320771937423831,0.5079,1.263,1.1196,0.6569
177,amar1273,indo1316,0.1851851851851851,0.1387163561076604,ind,0.7699000239372253,0.000765445237994229,0.5255,1.263,1.2006,0.6696
178,sain1246,indo1316,0.1621621621621621,0.0984826932195353,ind,1.0,0.7953054096238213,0.5255,1.263,1.2006,0.6696
179,agut1237,indo1316,0.3153153153153153,0.2429730892197968,ind,0.64410001039505,0.08392023133706686,0.4508,1.263,1.2006,0.6414
180,anga1290,indo1316,0.1801801801801801,0.1276633276633276,ind,1.0,0.15747503963988438,0.4744,0.3951,0.586,0.4997
181,east2379,indo1316,0.2363636363636363,0.1658398308584892,ind,1.0,0.16017577864007462,0.4051,0.5007,0.4947,0.4153
182,abau1245,indo1316,0.2432432432432432,0.192469587818425,ind,1.0,0.15747503963988438,0.394,0.481,0.7704,0.4119
183,ango1254,indo1316,0.1801801801801801,0.1271209814355369,ind,1.0,0.15747503963988438,0.429,1.263,1.2006,0.6265
184,achi1256,indo1316,0.2252252252252252,0.1834075561629741,ind,1.0,0.8320771937423831,0.4878,1.263,1.2006,0.6595
185,inab1237,indo1316,0.2432432432432432,0.2335669002335668,ind,0.6854000091552734,0.08392023133706686,0.5255,1.263,1.2006,0.6696
186,amel1241,indo1316,0.205607476635514,0.1536108751062022,ind,1.0,0.15747503963988438,0.4005,0.4603,0.276,0.4285
187,agar1252,indo1316,0.2342342342342342,0.1053146169425239,ind,1.0,0.15747503963988438,0.4709,1.263,1.2006,0.6436
188,agua1253,indo1316,0.2522522522522522,0.1359062867215041,ind,1.0,0.9103233229021549,0.4749,0.5349,0.6022,0.4947
189,cent2084,indo1316,0.2962962962962963,0.2199707783370869,ind,0.7373999953269958,0.08392023133706686,0.4459,1.263,1.2006,0.6511
190,sain1246,hebr1245,0.2522522522522522,0.1941644347049752,heb,1.0,0.34237859152171574,0.6041,1.2261,0.9198,0.7375
191,agua1252,hebr1245,0.1909090909090909,0.1180302952598967,heb,1.0,0.5893668963487687,0.5829,1.2261,0.8583,0.7235
192,agut1237,hebr1245,0.3153153153153153,0.2845252320662156,heb,1.0,0.4629579466552266,0.4549,1.2261,0.9198,0.6201
193,arif1239,hebr1245,0.2612612612612612,0.1686340803045608,heb,1.0,0.6132398068003208,0.5829,1.2261,0.9198,0.7263
194,amel1241,hebr1245,0.1495327102803738,0.1103102175449619,heb,1.0,0.6132398068003208,0.4476,0.574,0.7176,0.5417
195,anka1246,hebr1245,0.1621621621621621,0.0659753930781968,heb,1.0,0.6132398068003208,0.6041,1.2261,0.9198,0.7375
196,ango1254,hebr1245,0.1531531531531531,0.1092976083710224,heb,1.0,0.6132398068003208,0.5111,1.2261,0.9198,0.6926
197,ambu1247,hebr1245,0.1727272727272727,0.1285300099395978,heb,1.0,0.6132398068003208,0.4618,0.5508,0.3519,0.4854
198,agar1252,hebr1245,0.2252252252252252,0.1503053135237043,heb,1.0,0.6132398068003208,0.5463,1.2261,0.9198,0.7079
199,achi1256,hebr1245,0.2072072072072072,0.1616926850737613,heb,1.0,0.5893668963487687,0.466,1.2261,0.9198,0.6313
200,achu1248,hebr1245,0.1727272727272727,0.1260231859993622,heb,1.0,0.6025704025863272,0.4102,0.502,0.7176,0.437
201,abau1245,hebr1245,0.2612612612612612,0.2032389020717706,heb,1.0,0.6132398068003208,0.4852,0.5819,0.4315,0.5118
202,cent2084,hebr1245,0.2777777777777778,0.2119423907996714,heb,1.0,0.4629579466552266,0.3861,1.2261,0.9198,0.5922
203,east2379,hebr1245,0.1818181818181818,0.136477777667709,heb,1.0,0.619024446406147,0.4516,0.6179,0.6736,0.513
204,agua1253,hebr1245,0.1081081081081081,0.0892741966743843,heb,1.0,0.6060051616376056,0.487,0.5638,0.6267,0.4967
205,amar1273,hebr1245,0.287037037037037,0.2372787327465689,heb,1.0,0.47956535376861903,0.6041,1.2261,0.9198,0.7375
206,anem1248,hebr1245,0.2666666666666666,0.2111200723263206,heb,1.0,0.6132398068003208,0.6041,1.2261,0.9198,0.7375
