task_lang,transfer_lang,accuracy,f1_score,transfer_language,genetic,geographic
wikm1247,stan1293,0.3119266055045872,0.2699749791492911,eng,1.0,0.4724
kouy1238,stan1293,0.1531531531531531,0.095262459748441,eng,1.0,0.2023
iama1237,stan1293,0.2149532710280373,0.1600877265634576,eng,1.0,0.4716
yele1255,stan1293,0.1296296296296296,0.1017195767195767,eng,0.9687,0.4777
mapo1242,stan1293,0.2522522522522522,0.1888639122681675,eng,1.0,0.4638
luok1236,stan1293,0.2162162162162162,0.1729868938908486,eng,1.0,0.2642
sanj1284,stan1293,0.3333333333333333,0.2721501247413463,eng,1.0,0.3306
orok1269,stan1293,0.2522522522522522,0.2276122276122276,eng,1.0,0.4685
ayau1235,stan1293,0.3153153153153153,0.2471494050441419,eng,1.0,0.3277
mani1292,stan1293,0.1891891891891892,0.1464321464321464,eng,1.0,0.3076
kupa1239,stan1293,0.3055555555555556,0.2507190842320153,eng,1.0,0.4449
assa1263,stan1293,0.2252252252252252,0.174694912830506,eng,0.9247999787330627,0.2988
sate1243,stan1293,0.1711711711711711,0.1190137505926979,eng,1.0,0.308
guaj1255,stan1293,0.1363636363636363,0.0999324663630538,eng,0.9687,0.2931
tzot1259,stan1293,0.1711711711711711,0.0785839603043904,eng,1.0,0.3238
torr1261,stan1293,0.3243243243243243,0.2607937987248332,eng,0.28040000796318054,0.468
sude1239,stan1293,0.2792792792792792,0.1951520147598578,eng,1.0,0.4775
lite1248,stan1293,0.4054054054054054,0.398059598059598,eng,1.0,0.3216
gull1241,stan1293,0.4234234234234234,0.3633357641841205,eng,0.28040000796318054,0.2475
mala1479,stan1293,0.4864864864864865,0.4657345445388924,eng,1.0,0.386
mudu1242,stan1293,0.2072072072072072,0.1059511614418156,eng,1.0,0.4617
dadi1250,stan1293,0.1351351351351351,0.0905689225811177,eng,1.0,0.4614
wala1266,stan1293,0.1981981981981982,0.1345273549084651,eng,1.0,0.4768
bang1348,stan1293,0.1904761904761904,0.152476659629369,eng,1.0,0.1966
gofa1235,stan1293,0.2072072072072072,0.1581520914854248,eng,1.0,0.2422
zyph1238,stan1293,0.3153153153153153,0.2288727027905718,eng,1.0,0.3128
tere1279,stan1293,0.1621621621621621,0.0808061327235368,eng,1.0,0.3569
akan1250,stan1293,0.2072072072072072,0.1697111154738273,eng,1.0,0.2053
peno1244,stan1293,0.1441441441441441,0.0804130762420334,eng,1.0,0.3313
gira1247,stan1293,0.2072072072072072,0.1062332173443284,eng,1.0,0.4597
maga1263,stan1293,0.3333333333333333,0.3133181400363391,eng,1.0,0.3815
anem1248,stan1293,0.2095238095238095,0.1739353856020522,eng,1.0,0.4706
taga1272,stan1293,0.2972972972972973,0.2697804113763816,eng,1.0,0.4091
labe1239,stan1293,0.1801801801801801,0.0967469854592271,eng,1.0,0.4636
uigh1240,stan1293,0.2181818181818181,0.171642397034631,eng,1.0,0.2253
bugh1239,stan1293,0.1981981981981982,0.1631601574930126,eng,1.0,0.4757
