task_lang,transfer_lang,accuracy,Rank,Accuracy level,Entity overlap,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,genetic,syntactic,featural,phonological,inventory,geographic,morphological,hyper_genetic,scriptural,islands
jav,uzb,0.67,9,45,0.0128746078113166,10000,9243,1.0818998160770312,1.0,0.7229,0.5718,0.5032,0.5511,0.2433,,3.111,0.405,0.12156567366500826
jav,vie,0.66,23,31,0.0216379963215406,10000,9243,1.0818998160770312,1.0,0.4278,0.4919,0.47,0.4973,0.088,0.805,3.094,0.3455,0.07069742932137268
jav,xho,0.63,51,3,0.0036784593746619,218,9243,0.0235854159904792,1.0,0.5342,0.5262,0.4054,0.4456,0.3429,0.8226,3.104,0.0,0.09126086636261188
jav,yor,0.66,23,31,0.0795196364816618,7227,9243,0.7818889970788705,1.0,0.4208,0.4424,0.4327,0.4477,0.4152,,3.04,0.3776,0.04869186119795155
jav,zul,0.65,38,16,0.0089797684734393,462,9243,0.0499837715027588,1.0,0.5587,0.5682,0.5713,0.5049,0.332,1.0,3.152,0.0,0.10893432099115585
lao,amh,0.05,12,42,0.0,2028,521,3.8925143953934738,1.0,0.6814,0.5969,0.3217,0.445,0.2698,0.4359,3.172,0.5541,0.13361898384916782
lao,ara,0.05,12,42,0.0,10000,521,19.19385796545105,1.0,0.67,0.7478,,,0.2465,1.0,3.21,0.5132,0.0990648952048897
lao,aze,0.04,32,22,0.0057581573896353,10000,521,19.19385796545105,1.0,0.6438,0.6346,0.4601,0.5745,0.2411,0.8989,3.02,,0.10341321266741266
lao,ben,0.07,2,52,0.0,10000,521,19.19385796545105,1.0,0.6572,0.5417,0.2952,0.522,0.072,,3.135,0.4246,0.09959856471593986
lao,cat,0.04,32,22,0.0019193857965451,10000,521,19.19385796545105,1.0,0.5466,0.5196,0.2163,0.4237,0.3561,1.0,3.102,0.6185,0.09736880236343615
lao,ceb,0.06,5,49,0.0057581573896353,10000,521,19.19385796545105,1.0,0.6588,0.5197,0.0,0.4008,0.0943,0.7699,3.152,0.6185,0.05006251444283816
lao,ckb,0.05,12,42,0.0,6279,521,12.051823416506718,1.0,0.7285,0.6016,0.3918,0.5721,0.2407,0.6082,3.125,0.5893,0.10851749706149394
