task_lang,transfer_lang,accuracy,f1_score,transfer_language,genetic,geographic,syntactic,phonological,inventory,featural,hyper_genetic,scriptural,islands
luok1236,stan1293,0.2162162162162162,0.1729868938908486,eng,1.0,0.3,0.63,0.4054,0.3969,0.5,3.2235472,0.1864,0.18114744276441985
sanj1284,stan1293,0.3333333333333333,0.2721501247413463,eng,1.0,0.4,0.9,1.0,0.492,0.7,3.1009746,0.1864,0.19259906648086567
orok1269,stan1293,0.2522522522522522,0.2276122276122276,eng,1.0,0.7,0.77,0.8632,0.5859,0.7,3.2099214,0.1864,0.23525242240346922
ayau1235,stan1293,0.3153153153153153,0.2471494050441419,eng,1.0,0.4,0.57,0.5687,0.5983,0.6,3.2319398,0.1864,0.24906870872769182
mani1292,stan1293,0.1891891891891892,0.1464321464321464,eng,1.0,0.4,0.69,0.4576,0.492,0.6,3.0764477,0.6368,0.19987998512298366
kupa1239,stan1293,0.3055555555555556,0.2507190842320153,eng,1.0,0.7,0.57,0.5687,0.529,0.7,3.1102953,0.1864,0.1898992776606323
assa1263,stan1293,0.2252252252252252,0.174694912830506,eng,0.9247999787330629,0.4,0.81,0.5687,0.4638,0.6,3.0402107,0.6368,0.18407811044221045
sate1243,stan1293,0.1711711711711711,0.1190137505926979,eng,1.0,0.4,0.57,0.5687,0.5371,0.7,3.178144,0.1864,0.22078071545872946
guaj1255,stan1293,0.1363636363636363,0.0999324663630538,eng,0.9687,0.4,0.77,0.5687,0.5005,0.6,3.1243563,0.1864,0.20432947474705376
tzot1259,stan1293,0.1711711711711711,0.0785839603043904,eng,1.0,0.4,0.84,0.5687,0.5811,0.7,3.1891797,0.1864,0.2034333758910596
torr1261,stan1293,0.3243243243243243,0.2607937987248332,eng,0.2804000079631805,0.7,0.57,0.5687,0.5983,0.6,2.8085198,0.1864,0.34094251670486475
sude1239,stan1293,0.2792792792792792,0.1951520147598578,eng,1.0,0.7,0.71,0.5687,0.5983,0.8,3.1047819,0.1864,0.1975364023623738
lite1248,stan1293,0.4054054054054054,0.398059598059598,eng,1.0,1.0,0.57,0.5687,0.5983,0.6,3.1791978,0.8485,0.24906870872769182
gull1241,stan1293,0.4234234234234234,0.3633357641841205,eng,0.2804000079631805,0.3,0.57,0.5687,0.5983,0.6,2.8540895,0.1864,0.36066867971687955
mala1479,stan1293,0.4864864864864865,0.4657345445388924,eng,1.0,0.5,0.57,0.5687,0.5983,0.6,3.0106213,0.4161,0.19813115876987564
mudu1242,stan1293,0.2072072072072072,0.1059511614418156,eng,1.0,0.7,0.61,0.5687,0.5983,0.8,3.2477887,0.1864,0.19939319254256105
dadi1250,stan1293,0.1351351351351351,0.0905689225811177,eng,1.0,0.7,0.9,0.6373,0.572,0.7,3.1379185,0.1864,0.23271642013117333
wala1266,stan1293,0.1981981981981982,0.1345273549084651,eng,1.0,0.7,0.79,0.5687,0.5983,0.9,3.2441928,0.1864,0.19069365637526203
bang1348,stan1293,0.1904761904761904,0.152476659629369,eng,1.0,0.2,0.57,0.5687,0.5983,0.6,3.14725,0.1864,0.24906870872769182
gofa1235,stan1293,0.2072072072072072,0.1581520914854248,eng,1.0,0.3,0.92,1.0,0.5983,1.0,3.213049,0.3548,0.20415970226570734
zyph1238,stan1293,0.3153153153153153,0.2288727027905718,eng,1.0,0.4,0.57,0.5687,0.5983,0.6,3.1561913,0.1864,0.24906870872769182
tere1279,stan1293,0.1621621621621621,0.0808061327235368,eng,1.0,0.5,0.95,0.5687,0.5506,0.7,3.0946312,0.1864,0.22012427405063728
akan1250,stan1293,0.2072072072072072,0.1697111154738273,eng,1.0,0.3,0.78,0.5207,0.4969,0.6,3.051723,0.4161,0.20644771441762177
peno1244,stan1293,0.1441441441441441,0.0804130762420334,eng,1.0,0.4,0.66,1.0,0.5983,0.8,3.1453035,0.1864,0.19857080541166128
gira1247,stan1293,0.2072072072072072,0.1062332173443284,eng,1.0,0.7,0.9,0.5687,0.5983,0.9,3.2023098,0.1864,0.23684949355767082
maga1263,stan1293,0.3333333333333333,0.3133181400363391,eng,1.0,0.5,0.57,0.5687,0.5983,0.6,3.2156498,0.1864,0.24304286227797867
anem1248,stan1293,0.2095238095238095,0.1739353856020522,eng,1.0,0.7,0.57,0.5687,0.5983,0.6,3.0626106,0.1864,0.24906870872769182
