task_lang,transfer_lang,accuracy,Rank,Accuracy level,Word overlap,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,Transfer lang TTR,Target lang TTR,Transfer target TTR distance,genetic,syntactic,featural,phonological,inventory,geographic,morphological,hyper_genetic,scriptural,islands
nor,rus,62.73,14,16,0.116973273,55398,3450,16.057391304347828,0.123916395,0.206890882,0.1608445869959945,0.8,0.4298,0.5608,0.4054,0.6556,0.149,,3.06,0.3918,0.10971737182716035
nor,spa,63.41,10,20,0.1653848259999999,31546,3450,9.143768115942027,0.0791871859999999,0.206890882,0.380999347119402,0.9231,0.439,0.5725,0.5348,0.6445,0.0942,,3.06,0.1864,0.08792677122143433
nor,kor,16.34,29,1,0.103783409,30426,3450,8.81913043478261,0.294432976,0.206890882,0.1790404493901921,1.0,0.5734,0.5224,0.4477,0.4982,0.2963,,3.111,0.3141,0.12833129089347917
nor,est,54.56,21,9,0.138073403,23460,3450,6.8,0.221928097,0.206890882,0.0052826533907944,1.0,0.2649,0.2649,,,0.0342,,3.209,,0.07723688870033951
nor,pol,58.08,20,10,0.146769214,22646,3450,6.564057971014493,0.223329008,0.206890882,0.0063127982205503,0.8333,0.4947,0.5683,0.39,0.6385,0.0434,,3.178,0.1864,0.14124731729427364
nor,nld,65.6,6,24,0.200898811,19452,3450,5.638260869565217,0.133302703,0.206890882,0.1265124918967197,0.7,0.3549,0.4851,0.3498,0.5605,0.0389,,2.945,0.1864,0.08255357063702518
nor,por,63.03,12,18,0.152596869,19763,3450,5.728405797101449,0.095460698,0.206890882,0.2900834775722393,0.9333,0.4385,0.5187,0.3824,0.5757,0.0907,,3.125,0.1864,0.10258649379949891
nor,lat,43.69,24,6,0.024790369,17140,3450,4.9681159420289855,0.158874645,0.206890882,0.0538633724049505,0.8333,0.4803,0.5271,0.303,0.5736,0.0826,,3.15,0.1864,0.1094004293960702
nor,fra,65.42,7,23,0.153546831,16032,3450,4.64695652173913,0.118520741,0.206890882,0.1824434994080858,0.9375,0.402,0.4928,0.4034,0.5505,0.0588,,3.14,0.1864,0.08594316077570074
nor,deu,66.53,4,26,0.177222821,14613,3450,4.235652173913043,0.187631727,0.206890882,0.0086654626509229,0.5714,0.2684,0.4272,0.3695,0.5021,0.0524,,3.05,0.1864,0.057392905448467424
nor,hin,29.05,28,2,0.068817479,14963,3450,4.337101449275362,0.060393443,0.206890882,0.501391957130235,0.875,0.4689,0.4603,0.4835,0.4505,0.2472,,3.1,0.3918,0.10801004365477951
nor,cat,60.37,17,13,0.1802188569999999,14832,3450,4.299130434782609,0.074013319,0.206890882,0.4124968218676225,0.9091,0.4361,0.5084,0.39,0.5587,0.0845,,3.072,0.1864,0.10387006465782034
nor,ita,65.94,5,25,0.173459508,13685,3450,3.966666666666667,0.102554534,0.206890882,0.254324711591998,0.9,0.4848,0.5756,0.4601,0.639,0.0776,,3.13,0.1864,0.11463916155137321
nor,eng,72.48,2,28,0.175231553,14545,3450,4.215942028985507,0.0961556319999999,0.206890882,0.2864765506158098,0.7,0.3625,0.4397,0.427,0.4769,0.0423,,2.844,0.0,0.15307248462973266
nor,fin,47.95,23,7,0.130090064,13581,3450,3.9365217391304346,0.302519355,0.206890882,0.2136445112763436,1.0,0.3937,0.4237,0.2736,0.4626,0.0394,,3.193,0.1864,0.08029228846188663
nor,bul,63.95,9,21,0.1131368859999999,10022,3450,2.904927536231884,0.201446082,0.206890882,0.0006925978856075,0.8571,0.4689,0.5401,0.4054,0.5964,0.0863,,3.082,0.1864,0.09437876936109912
nor,slv,61.87,15,15,0.137452274,9290,3450,2.692753623188406,0.237767323,0.206890882,0.0222726436325631,0.8333,0.4457,0.4936,0.4078,0.5251,0.0641,,3.094,0.1864,0.09358144281295211
nor,slk,58.74,19,11,0.1225086319999999,9543,3450,2.766086956521739,0.261917468,0.206890882,0.0707395732523525,0.8333,,,,,0.0573,,3.262,0.1864,0.15060006860488973
nor,ron,63.33,11,19,0.13332359,8795,3450,2.5492753623188404,0.167303215,0.206890882,0.0366131516784058,0.8889,0.3858,0.5273,0.5064,0.5961,0.0729,,3.11,0.1864,0.07557348072249648
nor,hrv,62.98,13,17,0.157657246,7832,3450,2.270144927536232,0.216688845,0.206890882,0.0022427914307449,0.875,0.4385,0.5095,0.4278,0.5577,0.0701,,3.3,0.1864,0.08764597156855458
nor,ara,37.32,27,3,0.084491861,6984,3450,2.0243478260869567,0.1033986809999999,0.206890882,0.2502260639420608,1.0,0.5231,0.5231,,,0.1751,,3.236,0.5574,0.09372668471826862
nor,lav,59.73,18,12,0.119457791,6475,3450,1.8768115942028984,0.268650981,0.206890882,0.0891113996068163,0.75,0.4632,0.4353,0.3433,,0.0373,,3.094,0.1864,0.0936788515278808
nor,heb,39.59,26,4,0.109958165,5725,3450,1.6594202898550725,0.117344567,0.206890882,0.187332330039128,1.0,0.44,0.5316,0.4601,0.5833,0.1494,,3.234,0.6035,0.08625528661152992
nor,ukr,64.3,8,22,0.117758819,5090,3450,1.4753623188405798,0.31926283,0.206890882,0.2950075405895644,0.8333,0.4298,0.5496,0.4601,0.6226,0.066,,3.129,0.3918,0.08386671683104363
