Target lang,Transfer lang,Accuracy,Rank,Accuracy level,Word overlap,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,Transfer lang TTR,Target lang TTR,Transfer target TTR distance,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHICAL,Unnamed: 18,GEOGRAPHIC
nor,dan,68.94,3,27,0.528069566,4947,3450,1.4339130434782608,0.203165045,0.206890882,0.0003243134799531,0.4788,0.4177,0.4944,0.3141,0.5609,0.0286,0.4189,0.0236
nor,swe,72.67,1,29,0.34269899,4807,3450,1.393333333333333,0.193727962,0.206890882,0.0040478254952898,0.4788,0.4231,0.4729,0.3141,0.4852,0.0206,0.2034,0.017
nor,zho,39.73,25,5,0.103856483,4497,3450,1.3034782608695652,0.178585916,0.206890882,0.0187172729219721,1.0,0.5548,0.5862,0.4685,0.5859,1.0,0.3556,0.2709
spa,ces,58.28,17,13,0.18863457,114304,2147,53.23893805309734,0.091965586,0.1929523189999999,0.2739230888614469,0.9248,0.4954,0.5141,0.3433,0.5431,0.0821,0.2415,0.0675
spa,rus,63.84,10,20,0.128603928,55398,2147,25.802515137401024,0.123916395,0.1929523189999999,0.1280118809368482,0.9078,0.4743,0.5029,0.3433,0.5273,0.2742,0.3906,0.2163
spa,nor,64.74,8,22,0.221536128,34170,2147,15.91523055426176,0.106159434,0.1929523189999999,0.2023337096683337,0.9176,0.4029,0.5134,0.5335,0.6445,0.1153,0.4517,0.0942
spa,kor,21.31,29,1,0.114226906,30426,2147,14.17140195621798,0.294432976,0.1929523189999999,0.2766091457636196,1.0,0.6751,0.621,0.5609,0.5505,0.4956,0.3925,0.3622
spa,est,42.41,25,5,0.138585821,23460,2147,10.926874708896134,0.221928097,0.1929523189999999,0.0225512285370057,0.9638,0.5263,0.4968,0.39,0.4617,0.1347,0.5111,0.1129
spa,pol,45.23,24,6,0.1173220669999999,22646,2147,10.547741034000932,0.223329008,0.1929523189999999,0.0247845401056441,0.9176,0.5426,0.5245,0.3277,0.4801,0.0984,0.4826,0.0807
spa,nld,65.33,7,23,0.239782101,19452,2147,9.060083837913368,0.133302703,0.1929523189999999,0.0955686165871949,0.9386,0.5076,0.5231,0.432,0.557,0.0683,0.5082,0.0563
spa,por,74.58,2,28,0.4665026229999999,19763,2147,9.204937121564974,0.095460698,0.1929523189999999,0.2552904553526889,0.1864,0.3872,0.4392,0.3695,0.4797,0.0156,0.3858,0.0129
spa,lat,45.37,23,7,0.083058638,17140,2147,7.983232417326502,0.158874645,0.1929523189999999,0.0311917601681306,0.5533,0.5687,0.5346,0.427,0.4617,0.0573,0.3654,0.0472
spa,fra,74.37,3,27,0.359704103,16032,2147,7.467163483931067,0.118520741,0.1929523189999999,0.1488039459301655,0.4601,0.4358,0.506,0.4565,0.5804,0.0438,0.0086,0.0362
spa,deu,61.27,13,17,0.156630608,14613,2147,6.806241266884024,0.187631727,0.1929523189999999,0.0007603611330925,0.9248,0.4029,0.5056,0.4835,0.6393,0.0703,0.15,0.0579
spa,hin,31.24,28,2,0.070724422,14963,2147,6.969259431765254,0.060393443,0.1929523189999999,0.4719735064700861,0.9304,0.5772,0.5872,0.4565,0.5922,0.3634,0.2405,0.279
spa,cat,82.77,1,29,0.50062677,14832,2147,6.9082440614811365,0.074013319,0.1929523189999999,0.3799693452718723,0.2677,0.4348,0.4587,0.3277,0.4565,0.0205,0.394,0.017
spa,ita,73.88,4,26,0.287277342,13685,2147,6.374010246856078,0.102554534,0.1929523189999999,0.2194904219093977,0.5295,0.4211,0.4564,0.2736,0.5037,0.0588,0.1288,0.0485
spa,eng,66.83,5,25,0.170682638,14545,2147,6.774569166278528,0.0961556319999999,0.1929523189999999,0.251663934146114,0.9386,0.56,0.5541,0.2566,0.5481,0.0698,0.1268,0.0575
spa,fin,35.25,27,3,0.139158426,13581,2147,6.3255705635770845,0.302519355,0.1929523189999999,0.3224480995143557,1.0,0.5221,0.5119,0.427,0.5617,0.1597,0.5168,0.1295
spa,bul,63.79,11,19,0.12479688,10022,2147,4.667908709827667,0.201446082,0.1929523189999999,0.0019377612749689,0.9248,0.3889,0.4538,0.3433,0.5933,0.1089,0.3049,0.0891
spa,slv,60.46,15,15,0.143940449,9290,2147,4.326967862133209,0.237767323,0.1929523189999999,0.0539444629786315,0.9176,0.5003,0.5338,0.3433,0.5118,0.0717,0.127,0.059
spa,slk,54.7,20,10,0.123404058,9543,2147,4.444806707033069,0.261917468,0.1929523189999999,0.1277495422524947,0.9176,0.7585,0.7326,0.5859,0.6885,0.0904,0.1483,0.0742
spa,ron,65.47,6,24,0.294767631,8795,2147,4.096413600372613,0.167303215,0.1929523189999999,0.0176703190873504,0.5804,0.3333,0.3983,0.3277,0.5114,0.1069,0.1304,0.0875
spa,hrv,60.74,14,16,0.170233839,7832,2147,3.647880763856544,0.216688845,0.1929523189999999,0.0151333232819818,0.9304,0.4894,0.4783,0.4054,0.4327,0.0776,0.4806,0.0638
spa,ara,46.23,22,8,0.0701672929999999,6984,2147,3.2529110386585933,0.1033986809999999,0.1929523189999999,0.2154102979133033,1.0,0.5828,0.5268,0.3433,0.4407,1.0,0.1295,0.1725
spa,lav,52.97,21,9,0.135769225,6475,2147,3.015836050302748,0.268650981,0.1929523189999999,0.1539133891909916,0.8934,0.5135,0.5077,0.39,0.4834,0.129,0.5212,0.1053
spa,heb,56.16,19,11,0.121113639,5725,2147,2.6665114112715416,0.117344567,0.1929523189999999,0.1535439278593294,1.0,0.4113,0.5013,0.4816,0.6441,0.1696,0.3292,0.1372
spa,ukr,61.35,12,18,0.11170435,5090,2147,2.370749883558453,0.31926283,0.1929523189999999,0.4285277782267523,0.9176,0.4422,0.4688,0.2736,0.5275,0.1095,0.3312,0.0896
spa,ind,56.53,18,12,0.138384636,5036,2147,2.3455985095482066,0.197096308,0.1929523189999999,0.0004612508535431,1.0,0.5573,0.5326,0.427,0.4627,0.6143,0.5122,0.4247
spa,dan,64.12,9,21,0.161505486,4947,2147,2.304145319049837,0.203165045,0.1929523189999999,0.0028014530954082,0.9248,0.5048,0.5224,0.427,0.4878,0.089,0.0978,0.073
spa,swe,60.41,16,14,0.116176857,4807,2147,2.2389380530973453,0.193727962,0.1929523189999999,1.6159344876055972e-05,0.9248,0.4698,0.5392,0.427,0.6215,0.1252,0.3946,0.1022
