,Target lang,Transfer lang,Accuracy,Rank,Accuracy level,Entity overlap,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
145,lao,tel,0.05,12,42,0.0,5991,521,11.499040307101728,1.0,0.4343,0.4707,0.5619,0.5065,0.14481480552523804
146,lao,tgk,0.05,12,42,0.0,10000,521,19.19385796545105,1.0,0.3624,0.5728,0.8723,1.268,0.20830365984698218
147,lao,tgl,0.06,5,49,0.0076775431861804,10000,521,19.19385796545105,1.0,0.2973,0.3262,0.6614,0.4048,0.13367512222351408
148,lao,tha,0.28,1,53,0.0,10000,521,19.19385796545105,0.0,0.255,0.2828,0.7125,0.371,0.04444771901310143
149,lao,tir,0.02,53,1,0.0019193857965451,81,521,0.1554702495201535,1.0,0.415,0.4209,0.3002,0.4723,0.35552882003632924
150,lao,tuk,0.05,12,42,0.0019193857965451,1152,521,2.2111324376199617,1.0,0.449,0.6435,0.7898,1.268,0.2491234383181397
151,lao,tur,0.05,12,42,0.0019193857965451,10000,521,19.19385796545105,1.0,0.4497,0.484,0.691,0.5032,0.3469632811630248
152,lao,ukr,0.05,12,42,0.0,10000,521,19.19385796545105,1.0,0.4093,0.4295,0.1973,0.4376,0.3557946172993577
153,lao,uig,0.04,32,22,0.0,1167,521,2.2399232245681384,1.0,0.3999,0.5916,0.9727,1.268,0.1149823129371087
154,lao,uzb,0.03,47,7,0.0,10000,521,19.19385796545105,1.0,0.3896,0.4116,0.3352,0.541,0.2368929393038619
155,lao,vie,0.07,2,52,0.0,10000,521,19.19385796545105,1.0,0.4242,0.4598,0.7655,0.4405,0.024781380061327414
156,lao,xho,0.04,32,22,0.0076775431861804,218,521,0.418426103646833,1.0,0.3764,0.4108,0.2301,0.3613,0.5081709869734621
157,lao,yor,0.05,12,42,0.0115163147792706,7227,521,13.871401151631478,1.0,0.3505,0.387,0.7215,0.3673,0.5152686596126277
158,lao,zul,0.04,32,22,0.0,462,521,0.8867562380038387,1.0,0.3319,0.3862,0.7781,0.4547,0.5078671297586105
159,mar,amh,0.24,6,48,0.0005,2028,10000,0.2028,1.0,0.4474,0.4811,0.8197,0.4409,0.2293610602398823
160,mar,ara,0.11,39,15,0.0,10000,10000,1.0,1.0,0.3861,0.614,0.8425,1.3062,0.18162759496402947
161,mar,aze,0.14,31,23,0.0001,10000,10000,1.0,1.0,0.3829,0.3881,0.2446,0.5678,0.18167437542328846
162,mar,ben,0.37,3,51,0.0002,10000,10000,1.0,0.6936,0.5202,0.5604,0.6293,0.3727,0.033515287561924824
163,mar,cat,0.16,24,30,0.0,10000,10000,1.0,0.9176,0.3504,0.377,0.5931,0.4254,0.3997617929131536
164,mar,ceb,0.09,44,10,0.0,10000,10000,1.0,1.0,0.5119,0.5084,0.14,0.4885,0.23702663296070245
165,mar,ckb,0.21,14,40,0.0,6279,10000,0.6279,0.8003,0.5438,0.7181,0.8425,1.3062,0.16260995684620666
166,mar,deu,0.22,10,44,0.0,10000,10000,1.0,0.8934,0.5247,0.5787,0.6854,0.5247,0.3387493505118522
167,mar,fas,0.15,27,27,0.0,10000,10000,1.0,0.8003,0.3366,0.3772,0.6466,0.5052,0.14336607316136343
168,mar,fra,0.11,39,15,0.0,10000,10000,1.0,0.9248,0.3815,0.4092,0.7028,0.4926,0.38118780187926016
