Target lang,Transfer lang,Accuracy,Rank,Accuracy level,Entity overlap,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
pan,ita,0.15,16,38,0.0,10000,7902,1.2655024044545684,0.9,0.5896,0.5517,0.0002,0.5192,0.2836
pan,jav,0.12,26,28,0.00012655024044545683,9243,7902,1.1697038724373576,1.0,0.9059999999999999,0.5777,0.7223,0.3915,0.2522
pan,kaz,0.11,31,23,0.0,10000,7902,1.2655024044545684,1.0,0.7867,0.8843,0.879,0.5732,0.0793
pan,kin,0.03,49,5,0.00012655024044545683,864,7902,0.10933940774487473,1.0,0.8949,0.6637,0.0002,0.5311,0.3002
pan,kir,0.17,10,44,0.0,10000,7902,1.2655024044545684,1.0,0.623,0.6066,0.5456,0.5306,0.0669
pan,kur,0.15,16,38,0.00012655024044545683,4006,7902,0.5069602632245002,1.0,0.7521,0.8501,0.0002,0.5732,0.142
pan,lao,0.01,53,1,0.00012655024044545683,521,7902,0.06593267527208302,1.0,0.706,0.5918,0.0002,0.5167,0.1661
pan,mar,0.35,3,51,0.0,10000,7902,1.2655024044545684,0.5714,0.5316,0.4246,0.0002,0.3531,0.0674
pan,mlt,0.08,37,17,0.00012655024044545683,1390,7902,0.175904834219185,1.0,0.81,0.6466,0.0002,0.5681,0.2826
pan,mya,0.03,49,5,0.0,3282,7902,0.4153378891419894,1.0,0.6765,0.5812,0.5228,0.4423,0.105
pan,nld,0.13,21,33,0.0,10000,7902,1.2655024044545684,0.9,0.6296,0.5427,0.0002,0.4873,0.3066
pan,nya,0.04,47,7,0.00012655024044545683,237,7902,0.029992406985573268,1.0,0.7737,0.8628,0.0002,0.5732,0.3386
pan,pol,0.12,26,28,0.0,10000,7902,1.2655024044545684,0.8333,0.574,0.5854,0.6162,0.5412,0.26
pan,por,0.07,41,13,0.0,10000,7902,1.2655024044545684,0.9333,0.5584,0.5022,0.0002,0.4629,0.35200000000000004
pan,ron,0.13,21,33,0.0,10000,7902,1.2655024044545684,0.8889,0.6121,0.5913,0.6409999999999999,0.5311,0.2374
